estacionID,fecha,temp_media,tmax,tmin
TPTMX,08/09/21 0:00,11.7,17.5,6
TTLMX,08/09/21 0:00,15.5,19,12
TTQMX,08/09/21 0:00,19,26,12
ANHNL,08/09/21 0:00,31.75,38.5,25
ARRNL,08/09/21 0:00,26.25,34,18.5
ASCNL,08/09/21 0:00,18,26,10
CABNL,08/09/21 0:00,28.75,37,20.5
CAMNL,08/09/21 0:00,30.5,38.5,22.5
CARNL,08/09/21 0:00,31.5,40,23
CCHNL,08/09/21 0:00,32.25,40,24.5
CPRNL,08/09/21 0:00,29.75,36,23.5
CRUNL,08/09/21 0:00,28.25,37,19.5
CRVNL,08/09/21 0:00,30,38,22
DARNL,08/09/21 0:00,23.5,30,17
ECSNL,08/09/21 0:00,27.5,36,19
GALNL,08/09/21 0:00,18.75,26,11.5
LBCNL,08/09/21 0:00,30,38,22
LERNL,08/09/21 0:00,31.25,40,22.5
MDRNL,08/09/21 0:00,31.75,39,24.5
MTMNL,08/09/21 0:00,29.25,37.5,21
MTRNL,08/09/21 0:00,31.5,38,25
OBSNL,08/09/21 0:00,31.1,37.6,24.6
PAMNL,08/09/21 0:00,30.75,40,21.5
SRANL,08/09/21 0:00,18.75,29,8.5
ZRGNL,08/09/21 0:00,22.5,31,14
ACANR,08/09/21 0:00,29.75,35,24.5
CAPNR,08/09/21 0:00,28,33,23
JMANR,08/09/21 0:00,25.2,29,21.5
LESNR,08/09/21 0:00,27,30,24
PAJNR,08/09/21 0:00,26,29,23
ROMNR,08/09/21 0:00,29,34.5,23.5
RUINR,08/09/21 0:00,26.75,31,22.5
TEPNR,08/09/21 0:00,28,33,23
AMTOX,08/09/21 0:00,17.5,22,13
ASTOX,08/09/21 0:00,28,34,22
ATEOX,08/09/21 0:00,16.5,21,12
BAEOX,08/09/21 0:00,21,26,16
BOQOX,08/09/21 0:00,29.5,38,21
CALOX,08/09/21 0:00,22.5,28,17
CDOOX,08/09/21 0:00,26.5,33,20
CHDOX,08/09/21 0:00,20,29,11
CHIOX,08/09/21 0:00,29.7,35,24.5
COZOX,08/09/21 0:00,29.5,36,23
EMAOX,08/09/21 0:00,28.2,34.5,22
HDLOX,08/09/21 0:00,20.7,25,16.5
HLOOX,08/09/21 0:00,21.75,28.2,15.3
IXTOX,08/09/21 0:00,30.7,36.5,25
JACOX,08/09/21 0:00,27.5,32.5,22.5
MAROX,08/09/21 0:00,28,34,22
OACOX,08/09/21 0:00,24,30.5,17.5
OAOOX,08/09/21 0:00,22.9,30.3,15.6
OSTOX,08/09/21 0:00,27.7,34,21.5
PTAOX,08/09/21 0:00,29.3,34.6,24
RHOOX,08/09/21 0:00,29.5,37,22
RMLOX,08/09/21 0:00,29.5,36,23
SCIOX,08/09/21 0:00,20,26,14
SCROX,08/09/21 0:00,30.2,35.8,24.6
SFUOX,08/09/21 0:00,25.5,31,20
SLAOX,08/09/21 0:00,19.7,24.5,15
SMAOX,08/09/21 0:00,10,15,5
SNCOX,08/09/21 0:00,18.5,24,13
STTOX,08/09/21 0:00,17,23.5,10.5
TEMOX,08/09/21 0:00,28.5,34,23
TEPOX,08/09/21 0:00,17.2,22,12.5
TEQOX,08/09/21 0:00,26,34,18
TLXOX,08/09/21 0:00,19.5,25,14
TSLOX,08/09/21 0:00,22.5,29,16
VANOX,08/09/21 0:00,30,37,23
ZACOX,08/09/21 0:00,22.2,26.5,18
ZALOX,08/09/21 0:00,24,30,18
ZANOX,08/09/21 0:00,29.5,34,25
ZAPOX,08/09/21 0:00,24,33,15
ACHPB,08/09/21 0:00,19.5,28,11
ACJPB,08/09/21 0:00,17,22,12
ADOPB,08/09/21 0:00,23,28,18
AFRPB,08/09/21 0:00,18.5,23,14
AHAPB,08/09/21 0:00,18.5,23,14
AHUPB,08/09/21 0:00,13.5,19.5,7.5
APAPB,08/09/21 0:00,26.5,32,21
ATXPB,08/09/21 0:00,17,21,13
BDDPB,08/09/21 0:00,17.5,22.5,12.5
CDSPB,08/09/21 0:00,15.5,19,12
CEMPB,08/09/21 0:00,17.5,24,11
CHIPB,08/09/21 0:00,23,29,17
CHLPB,08/09/21 0:00,17,23,11
CHSPB,08/09/21 0:00,23,30,16
CNAPB,08/09/21 0:00,17.5,23,12
CNGPB,08/09/21 0:00,13,19,7
COAPB,08/09/21 0:00,22,27,17
CPLPB,08/09/21 0:00,15.5,20,11
ECHPB,08/09/21 0:00,16.7,22,11.5
HJTPB,08/09/21 0:00,15,20,10
HQCPB,08/09/21 0:00,21.5,27,16
HUAPB,08/09/21 0:00,19.5,25,14
IXTPB,08/09/21 0:00,19.5,26,13
IZMPB,08/09/21 0:00,23,27,19
LIBPB,08/09/21 0:00,17,21,13
MAYPB,08/09/21 0:00,17.5,23,12
OYAPB,08/09/21 0:00,12,20,4
PCRPB,08/09/21 0:00,9,14,4
PIXPB,08/09/21 0:00,23,29,17
PUOPB,08/09/21 0:00,17.7,22.6,12.8
QUIPB,08/09/21 0:00,17,22,12
RNAPB,08/09/21 0:00,27.5,32,23
SCRPB,08/09/21 0:00,18,25,11
SMCPB,08/09/21 0:00,12.5,19,6
SMTPB,08/09/21 0:00,16.5,22,11
SRTPB,08/09/21 0:00,14.5,20,9
TEHPB,08/09/21 0:00,20,26,14
TEOPB,08/09/21 0:00,18,23,13
UDSPB,08/09/21 0:00,19,25,13
ZCPPB,08/09/21 0:00,16.5,25,8
ZRGPB,08/09/21 0:00,15.5,21,10
